indicativo,altitud,tmed,hrMedia_mean,latitud_dd,longitud_dd,cluster
1044X,617,12.35686600221484,77.89147286821705,43.05777777777777,-2.5897222222222225,0
1048X,308,13.051910507792861,77.9281045751634,43.025,-2.4658333333333333,0
1049N,470,13.046395563770794,80.9445471349353,43.138333333333335,-2.4958333333333336,0
1050J,119,14.23715181759459,75.80791144189105,43.20916666666667,-2.413333333333333,0
1052A,150,15.019408502772643,75.82316697473814,43.31722222222223,-2.397222222222222,0
1055B,12,15.664622124863088,85.16429353778751,43.37694444444445,-2.5102777777777776,1
1056K,45,14.706948640483384,80.61581067472306,43.3425,-2.6711111111111108,0
1057B,93,15.14959445287309,76.47041092940403,43.45388888888889,-2.7527777777777778,0
1059X,81,14.954413841525604,78.84598416662747,43.375,-3.0216666666666665,0
1060X,240,14.382983576642335,73.87363138686132,43.05027777777777,-3.0055555555555555,0
1064L,270,14.447202925045703,75.13546617915905,43.09638888888889,-2.8602777777777777,0
1069Y,747,11.522562929061785,83.09977116704806,43.09916666666667,-2.6441666666666666,0
1074C,100,14.651760402377686,78.85550983081848,43.20277777777778,-2.706111111111112,0
1078C,210,14.193428258488499,76.03477546549836,43.18055555555555,-3.2097222222222226,0
1078I,208,13.922136546569075,69.89448315477786,43.20333333333333,-3.104722222222222,0
1082,42,15.58665754361957,72.63137187820732,43.29805555555556,-2.906388888888889,0
1083B,177,15.031569343065694,79.01386861313868,43.27972222222222,-3.168611111111111,0
1083L,45,15.638934135977337,80.03558781869688,43.39472222222222,-3.233888888888889,0
1089U,80,14.548493150684932,79.11487279843445,43.255833333333335,-3.4708333333333337,0
1096X,10,14.520369017172087,79.88710266715381,43.39666666666667,-3.4697222222222224,0
1103X,849,11.637072503419974,80.69083447332422,43.2275,-3.721111111111111,0
1109,3,15.478240262050505,74.47763397246648,43.42388888888889,-3.8255555555555554,0
1109X,3,15.154964816262705,77.2017200938233,43.42861111111111,-3.8313888888888887,0
1111,52,15.211898625429555,77.53994845360825,43.49111111111111,-3.800555555555556,0
1111X,51,15.422028928850665,78.27521501172791,43.49111111111111,-3.800555555555556,0
1124E,196,13.90281690140845,78.39241001564945,43.24555555555556,-3.849444444444445,0
1135C,460,12.298831263696128,83.38677867056245,43.14694444444444,-4.214166666666667,0
1152C,105,14.6092795614722,77.02310101801096,43.27194444444444,-4.048611111111111,0
