indicativo,altitud,tmed,latitud_dd,longitud_dd,cluster
1495,255,14.93414703637105,42.23861111111111,-8.623888888888889,2
1496X,120,15.807205452775072,42.230555555555554,-8.724166666666667,2
1505,442,12.708233387358185,43.11111111111112,-7.4575,2
1518A,442,13.554191304347826,42.998333333333335,-7.5525,3
1521I,403,13.403542094455853,42.84527777777778,-7.499444444444444,3
1521X,1080,10.283985374771481,42.86388888888889,-7.185277777777778,3
1541B,958,11.319918032786884,42.928888888888885,-6.333888888888889,3
1542,1530,8.093056217491867,42.994166666666665,-6.414166666666668,5
1549,532,14.17105713308245,42.56388888888888,-6.6,3
1561I,770,12.275610766045547,42.76611111111111,-6.673611111111112,3
1583X,315,15.19341085271318,42.41555555555556,-6.993055555555555,3
1631E,840,11.990462107208872,42.339444444444446,-7.2825,3
1639X,990,11.156134486826582,42.26027777777778,-7.383611111111112,3
1658,612,12.891899791231733,42.58861111111111,-7.191666666666667,3
1679A,291,14.255474882260595,42.531666666666666,-7.510833333333333,3
1690A,146,16.115321477428182,42.32527777777778,-7.859722222222222,3
1696O,610,12.312941762070682,42.46805555555556,-8.278055555555556,2
1700X,400,13.804311073541843,42.421388888888885,-8.092500000000001,3
1701X,112,15.859461924304608,42.3,-8.129166666666666,3
1706A,492,13.811462631820266,42.18277777777777,-7.796111111111111,3
1719,560,13.757838208409508,42.21805555555556,-8.281111111111112,2
1723X,90,15.559977064220183,42.18222222222222,-8.492777777777777,2
1730E,55,16.08884324347036,41.943888888888885,-8.8475,2
1735X,616,12.031621036680809,42.07916666666667,-7.733611111111111,3
1738U,730,12.940069124423964,41.93416666666666,-7.988888888888889,3
1740,150,14.337631458619114,43.37722222222222,-4.124444444444444,2
2005Y,1197,10.600267528939822,41.967777777777776,-2.7827777777777776,3
2017Y,1260,10.132421875,41.99583333333334,-2.494166666666666,4
2030,1081,12.160648148148148,41.775,-2.483055555555556,4
2044B,1100,11.586241768579491,41.60055555555556,-2.5075,4
2048A,978,11.694297445255476,41.41944444444445,-2.4202777777777778,4
2059B,1042,11.78328975698948,41.34972222222223,-2.783333333333333,4
2084Y,960,11.121921568627451,41.721944444444446,-3.046944444444444,4
2092,932,12.25867006669282,41.589444444444446,-3.0869444444444447,4
2096B,1150,12.019097413318658,41.37361111111111,-3.251388888888889,4
2106B,955,12.253270094857713,41.74583333333334,-3.3819444444444446,4
2117D,790,12.584437009714144,41.66583333333333,-3.742777777777778,4
2135A,993,11.615252938170668,41.37277777777778,-3.507222222222222,4
2140A,1135,12.374840036563072,41.464444444444446,-3.785833333333333,4
2150H,1798,8.41391129032258,41.19194444444444,-3.475277777777778,5
2166Y,756,12.894008834897846,41.59305555555556,-4.124722222222222,4
2172Y,725,13.428166351606805,41.61194444444445,-4.405555555555556,4
2182C,1107,12.56795154185022,41.13388888888889,-3.790277777777778,4
2192C,795,12.205287671232877,41.38361111111111,-4.265555555555555,4
2235U,1140,11.363573883161513,42.87055555555556,-4.52,3
2243A,910,10.852141982864138,42.79805555555556,-4.277222222222222,4
2276B,908,11.452445842068483,42.56888888888889,-4.575,4
2285B,869,12.896433470507544,42.52388888888889,-4.001111111111111,4
2290Y,771,12.303322908522283,42.25111111111111,-4.198888888888889,4
2296A,1039,12.166045548654242,41.77555555555556,-1.9766666666666668,4
2298,1080,11.337146066969845,41.95972222222223,-3.131666666666667,4
2302N,1197,10.26758385394165,42.146388888888886,-3.1097222222222225,3
2311Y,884,12.213133498145858,42.10527777777778,-3.767777777777778,4
2331,891,11.299682034976152,42.35694444444445,-3.620277777777778,4
2362C,1575,9.593908472479901,42.89388888888889,-4.713611111111112,5
2374X,830,12.284823776959495,42.35083333333333,-4.617222222222223,4
2400E,874,11.764673242909987,41.99555555555556,-4.602777777777778,4
2401X,736,12.78569667077682,42.00944444444445,-4.560555555555555,4
2422,734,13.7526395173454,41.64083333333333,-4.754166666666666,4
2430Y,1178,12.438767545209323,40.54333333333333,-5.0441666666666665,4
2444,1130,12.495875251509053,40.65916666666666,-4.679722222222223,4
2453E,920,12.782402234636871,40.82888888888889,-4.741944444444444,4
2456B,820,13.03620246659815,41.07138888888889,-4.73,4
2462,1893,8.275615763546798,40.793055555555554,-4.010555555555555,5
2465,1008,13.096954595791804,40.945277777777775,-4.126388888888888,4
2471Y,1237,10.994901836605447,40.71861111111112,-4.211944444444445,4
2482B,870,12.715008505299611,41.12638888888889,-4.375833333333333,4
2491C,1960,7.251293568239959,40.355,-5.69,5
2503B,786,13.107085346215781,41.28,-4.691944444444444,4
2503X,740,13.275956284153006,41.325833333333335,-4.686944444444444,4
